sub1_name,x1 (mole fraction),sub2_name,x2 (mole fraction),sub3_name,x3 (mole fraction),salt,x4 (mole fraction),x5 (mole fraction),temperature (K),ionic conductivity (mS/cm)
Fluoroethylene Carbonate,0.178284915,Ethyl Methyl Carbonate,0.72647699,Dimethyl Carbonate,0,LiTFSI,0.047619048,0.047619048,243.15,2.93
Fluoroethylene Carbonate,0.16286012,Ethyl Methyl Carbonate,0.663623898,Dimethyl Carbonate,0,LiTFSI,0.086757991,0.086757991,243.15,3.06
Fluoroethylene Carbonate,0.149870343,Ethyl Methyl Carbonate,0.610693037,Dimethyl Carbonate,0,LiTFSI,0.11971831,0.11971831,243.15,2.28
Fluoroethylene Carbonate,0.138927362,Ethyl Methyl Carbonate,0.566102476,Dimethyl Carbonate,0,LiTFSI,0.147485081,0.147485081,243.15,1.53
Fluoroethylene Carbonate,0.195872974,Ethyl Methyl Carbonate,0.798144973,Dimethyl Carbonate,0,LiTFSI,0.002991027,0.002991027,253.15,0.31
Fluoroethylene Carbonate,0.178284915,Ethyl Methyl Carbonate,0.72647699,Dimethyl Carbonate,0,LiTFSI,0.047619048,0.047619048,253.15,3.65
Fluoroethylene Carbonate,0.16286012,Ethyl Methyl Carbonate,0.663623898,Dimethyl Carbonate,0,LiTFSI,0.086757991,0.086757991,253.15,3.95
Fluoroethylene Carbonate,0.149870343,Ethyl Methyl Carbonate,0.610693037,Dimethyl Carbonate,0,LiTFSI,0.11971831,0.11971831,253.15,3.07
Fluoroethylene Carbonate,0.138927362,Ethyl Methyl Carbonate,0.566102476,Dimethyl Carbonate,0,LiTFSI,0.147485081,0.147485081,253.15,2.17
Fluoroethylene Carbonate,0.195872974,Ethyl Methyl Carbonate,0.798144973,Dimethyl Carbonate,0,LiTFSI,0.002991027,0.002991027,263.15,0.373
Fluoroethylene Carbonate,0.178284915,Ethyl Methyl Carbonate,0.72647699,Dimethyl Carbonate,0,LiTFSI,0.047619048,0.047619048,263.15,4.43
Fluoroethylene Carbonate,0.16286012,Ethyl Methyl Carbonate,0.663623898,Dimethyl Carbonate,0,LiTFSI,0.086757991,0.086757991,263.15,4.94
Fluoroethylene Carbonate,0.149870343,Ethyl Methyl Carbonate,0.610693037,Dimethyl Carbonate,0,LiTFSI,0.11971831,0.11971831,263.15,3.98
Fluoroethylene Carbonate,0.138927362,Ethyl Methyl Carbonate,0.566102476,Dimethyl Carbonate,0,LiTFSI,0.147485081,0.147485081,263.15,2.93
Fluoroethylene Carbonate,0.195872974,Ethyl Methyl Carbonate,0.798144973,Dimethyl Carbonate,0,LiTFSI,0.002991027,0.002991027,273.15,0.443
Fluoroethylene Carbonate,0.178284915,Ethyl Methyl Carbonate,0.72647699,Dimethyl Carbonate,0,LiTFSI,0.047619048,0.047619048,273.15,5.27
Fluoroethylene Carbonate,0.16286012,Ethyl Methyl Carbonate,0.663623898,Dimethyl Carbonate,0,LiTFSI,0.086757991,0.086757991,273.15,6.03
Fluoroethylene Carbonate,0.149870343,Ethyl Methyl Carbonate,0.610693037,Dimethyl Carbonate,0,LiTFSI,0.11971831,0.11971831,273.15,4.99
Fluoroethylene Carbonate,0.138927362,Ethyl Methyl Carbonate,0.566102476,Dimethyl Carbonate,0,LiTFSI,0.147485081,0.147485081,273.15,3.81
Fluoroethylene Carbonate,0.195872974,Ethyl Methyl Carbonate,0.798144973,Dimethyl Carbonate,0,LiTFSI,0.002991027,0.002991027,283.15,0.516
Fluoroethylene Carbonate,0.178284915,Ethyl Methyl Carbonate,0.72647699,Dimethyl Carbonate,0,LiTFSI,0.047619048,0.047619048,283.15,6.17
Fluoroethylene Carbonate,0.16286012,Ethyl Methyl Carbonate,0.663623898,Dimethyl Carbonate,0,LiTFSI,0.086757991,0.086757991,283.15,7.2
Fluoroethylene Carbonate,0.149870343,Ethyl Methyl Carbonate,0.610693037,Dimethyl Carbonate,0,LiTFSI,0.11971831,0.11971831,283.15,6.12
Fluoroethylene Carbonate,0.138927362,Ethyl Methyl Carbonate,0.566102476,Dimethyl Carbonate,0,LiTFSI,0.147485081,0.147485081,283.15,4.8
Fluoroethylene Carbonate,0.195872974,Ethyl Methyl Carbonate,0.798144973,Dimethyl Carbonate,0,LiTFSI,0.002991027,0.002991027,293.15,0.594
Fluoroethylene Carbonate,0.178284915,Ethyl Methyl Carbonate,0.72647699,Dimethyl Carbonate,0,LiTFSI,0.047619048,0.047619048,293.15,7.1
Fluoroethylene Carbonate,0.16286012,Ethyl Methyl Carbonate,0.663623898,Dimethyl Carbonate,0,LiTFSI,0.086757991,0.086757991,293.15,8.45
Fluoroethylene Carbonate,0.149870343,Ethyl Methyl Carbonate,0.610693037,Dimethyl Carbonate,0,LiTFSI,0.11971831,0.11971831,293.15,7.35
